Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Beren_Tallhart:'siblings':['Brandon_Tallhart']| 'fmc':[['Leobald_Tallhart', 'Berena_Hornwood'], []]| 'love':[]
Berena_Hornwood:'siblings':['Halys_Hornwood']| 'fmc':[[], ['Brandon_Tallhart', 'Beren_Tallhart']]| 'love':['Leobald_Tallhart']
Beric_Dondarrion:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bernarr_II_Justman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Beron_Blacktyde:'siblings':[]| 'fmc':[[], []]| 'love':[]
Beron_Stark:'siblings':['Lonnel_Snow', 'Rodwell_Stark', 'Arsa_Stark']| 'fmc':[['Brandon_Stark_(Son_of_Cregan)', 'Alys_Karstark_(Wife_of_Brandon)'], ['Donnor_Stark', 'Willam_Stark', 'Artos_Stark']]| 'love':['Lorra_Royce']
Bertrand_Tyrell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bess_Bracken:'siblings':['Barbara_Bracken', 'Jayne_Bracken', 'Catelyn_Bracken', 'Alysanne_Bracken']| 'fmc':[['Jonos_Bracken'], []]| 'love':[]
Beth_Cassel:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bethany_Blackwood:'siblings':['Brynden_Blackwood', 'Lucas_Blackwood', 'Hoster_Blackwood', 'Edmund_Blackwood', 'Alyn_Blackwood', 'Robert_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Bethany_Bracken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bethany_Rosby:'siblings':[]| 'fmc':[[], ['Perwyn_Frey', 'Benfrey_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey']]| 'love':['Walder_Frey']
Bharbo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Big_Belly_Ben:'siblings':[]| 'fmc':[[], []]| 'love':[]
Billy_Burley:'siblings':[]| 'fmc':[[], []]| 'love':[]
Biter:'siblings':[]| 'fmc':[[], []]| 'love':[]
Black_Maris:'siblings':[]| 'fmc':[[], []]| 'love':['Iron_Emmett']
Blackshield:'siblings':[]| 'fmc':[[], []]| 'love':[]
Blood_(horse):'siblings':[]| 'fmc':[[], []]| 'love':[]
Ramsay_Bolton:'siblings':[]| 'fmc':[['Roose_Bolton'], []]| 'love':['Jeyne_Poole']
Boremund_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Boros_Blount:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bors_the_Breaker:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Borys_Baratheon:'siblings':['Rogar_Baratheon', 'Ronnal_Baratheon', 'Orryn_Baratheon']| 'fmc':[[], []]| 'love':[]
Bowen_Marsh:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bran_Stark:'siblings':['Robb_Stark', 'Jon_Snow', 'Sansa_Stark', 'Arya_Stark', 'Rickon_Stark']| 'fmc':[['Eddard_Stark', 'Catelyn_Stark'], []]| 'love':[]
Branda_Stark:'siblings':['Lyarra_Stark']| 'fmc':[['Rodrik_Stark_(son_of_Beron)', 'Arya_Flint'], []]| 'love':['Harrold_Rogers']
Brandon_of_the_Bloody_Blade:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Brandon_Stark_(Father_of_Walton):'siblings':[]| 'fmc':[[], ['Alaric_Stark']]| 'love':[]
Brandon_Stark_(Son_of_Bennard):'siblings':['Benjen_Stark_(Son_of_Bennard)', 'Elric_Stark']| 'fmc':[['Bennard_Stark', 'Margaret_Karstark'], []]| 'love':[]
Brandon_Stark_(Son_of_Cregan):'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark']| 'fmc':[['Cregan_Stark', 'Lynara_Stark'], ['Lonnel_Snow', 'Rodwell_Stark', 'Beron_Stark', 'Arsa_Stark']]| 'love':['Alys_Karstark_(Wife_of_Brandon)', 'Wylla_Fenn']
Brandon_Stark_(The_Boisterous):'siblings':[]| 'fmc':[[], []]| 'love':[]
Brandon_Tallhart:'siblings':['Beren_Tallhart']| 'fmc':[['Leobald_Tallhart', 'Berena_Hornwood'], []]| 'love':[]
Braxton_Beesbury:'siblings':[]| 'fmc':[[], ['King%27s_Landing']]| 'love':['Saera_Targaryen', 'Perianne_Moore']
Brella:'siblings':[]| 'fmc':[[], []]| 'love':[]
Brienne_Tarth:'siblings':[]| 'fmc':[['Selwyn_Tarth'], []]| 'love':[]
Bronn:'siblings':[]| 'fmc':[[], []]| 'love':['Lollys_Stokeworth']
Brus_Buckler:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bryan_Frey:'siblings':['Steffon_Frey', 'Walda_Frey_(daughter_of_Walton)']| 'fmc':[['Walton_Frey', 'Deana_Hardyng'], []]| 'love':[]
Bryce_Caron:'siblings':[]| 'fmc':[['Bryen_Caron'], []]| 'love':[]
Bryen_Caron:'siblings':[]| 'fmc':[[], ['Bryce_Caron']]| 'love':[]
Brynden_Blackwood:'siblings':['Lucas_Blackwood', 'Hoster_Blackwood', 'Edmund_Blackwood', 'Alyn_Blackwood', 'Bethany_Blackwood', 'Robert_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Brynden_Rivers:'siblings':['Mya_Rivers', 'Gwenys_Rivers', 'Daeron_II_Targaryen', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Daemon_Blackfyre', 'Shiera_Seastar']| 'fmc':[['Aegon_IV_Targaryen', 'Melissa_Blackwood'], []]| 'love':['Shiera_Seastar']
Brynden_Tully:'siblings':['Hoster_Tully']| 'fmc':[[], []]| 'love':[]
Bryndon_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bump:'siblings':['Meha', 'Varamyr']| 'fmc':[[], []]| 'love':[]
Burton_Crakehall:'siblings':['Roland_Crakehall']| 'fmc':[[], []]| 'love':[]
Burton_Humble:'siblings':[]| 'fmc':[[], []]| 'love':[]
Byan_Votyris:'siblings':[]| 'fmc':[[], []]| 'love':[]
Byron:'siblings':[]| 'fmc':[[], []]| 'love':[]
Byron_Swann:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cadwyl:'siblings':[]| 'fmc':[[], []]| 'love':[]
Caleotte:'siblings':[]| 'fmc':[[], []]| 'love':[]
Calla_Blackfyre:'siblings':['Aegon_Blackfyre', 'Aemon_Blackfyre']| 'fmc':[['Daemon_I_Blackfyre'], []]| 'love':['Aegor_Rivers']
Captain%27s_Sister:'siblings':['Duskendale_Captain']| 'fmc':[[], []]| 'love':[]
Cassana_Estermont:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cassella_Staunton:'siblings':[]| 'fmc':[['Lord_Staunton_(Father_of_Cassella)'], []]| 'love':[]
Catelyn_Bracken:'siblings':['Barbara_Bracken', 'Jayne_Bracken', 'Bess_Bracken', 'Alysanne_Bracken']| 'fmc':[['Jonos_Bracken'], []]| 'love':[]
Catelyn_Stark:'siblings':['Edmure_Tully', 'Lysa_Arryn']| 'fmc':[['Hoster_Tully', 'Minisa_Tully'], ['Robb_Stark', 'Sansa_Stark', 'Arya_Stark', 'Bran_Stark', 'Rickon_Stark']]| 'love':['Eddard_Stark']
Catspaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cayn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cedric_Payne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cerelle_Lannister:'siblings':[]| 'fmc':[['Tybolt_Lannister', 'Teora_Kyndall'], []]| 'love':[]
Cerenna_Lannister:'siblings':['Daven_Lannister', 'Myrielle_Lannister']| 'fmc':[['Stafford_Lannister', 'Myranda_Lefford'], []]| 'love':[]
Cerissa_Lannister:'siblings':[]| 'fmc':[[], ['Tybolt_Lannister', 'Gerold_Lannister']]| 'love':['Damon_Lannister_(lord)']
Cersei_Lannister:'siblings':['Jaime_Lannister', 'Tyrion_Lannister']| 'fmc':[['Tywin_Lannister', 'Joanna_Lannister'], ['Joffrey_I_Baratheon', 'Myrcella_Baratheon', 'Tommen_I_Baratheon']]| 'love':['Robert_I_Baratheon', 'Jaime_Lannister', 'Lancel_Lannister', 'Osmund_Kettleblack', 'Osfryd_Kettleblack', 'Osney_Kettleblack']
Ceryse_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Characters_from_the_Reach:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Characters_from_the_Westerlands:'siblings':[]| 'fmc':[[], []]| 'love':[]
Chataya:'siblings':[]| 'fmc':[[], []]| 'love':[]
Chayle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Chett:'siblings':[]| 'fmc':[[], []]| 'love':[]
Chiggen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Children:'siblings':[]| 'fmc':[[], []]| 'love':[]
Clarent_Crakehall:'siblings':[]| 'fmc':[[], []]| 'love':[]
Clayton_Suggs:'siblings':[]| 'fmc':[[], []]| 'love':[]
Clegane_(Father_of_Gregor_and_Sandor):'siblings':[]| 'fmc':[[], ['Gregor_Clegane', 'Sandor_Clegane']]| 'love':[]
Clement_Piper:'siblings':[]| 'fmc':[[], ['Marq_Piper', 'Lewys_Piper']]| 'love':[]
Cleos_Frey:'siblings':['Lyonel_Frey', 'Tion_Frey', 'Walder_Frey_(son_of_Emmon)']| 'fmc':[['Emmon_Frey', 'Genna_Lannister'], ['Tywin_Frey', 'Willem_Frey']]| 'love':['Jeyne_Darry']
Cletus_Yronwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cleyton_Caswell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Clydas:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cohollo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Coldhands:'siblings':[]| 'fmc':[[], []]| 'love':[]
Colemon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Colin_Florent:'siblings':['Alester_Florent', 'Axell_Florent', 'Ryam_Florent', 'Rylene_Florent']| 'fmc':[[], ['Delena_Florent', 'Omer_Florent', 'Merrell_Florent']]| 'love':[]
Colmar_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Corlys_Velaryon_(brother_of_Aethan):'siblings':[]| 'fmc':[[], []]| 'love':[]
Coryanne_Wylde:'siblings':[]| 'fmc':[['Morgan_Wylde'], []]| 'love':['Surly_lad', 'Howard_Bullock']
Craghorn_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Crake_the_Boarkiller:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cregan_Karstark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cregan_Stark:'siblings':['Sara_Snow']| 'fmc':[['Rickon_Stark_(Son_of_Benjen)', 'Gilliane_Glover'], ['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']]| 'love':['Arra_Norrey', 'Alysanne_Blackwood', 'Lynara_Stark']
Cregard_Stark:'siblings':['Torrhen_Stark_(Son_of_Edric)', 'Arrana_Stark', 'Aregelle_Stark']| 'fmc':[['Edric_Stark_(Son_of_Cregan)', 'Serena_Stark'], []]| 'love':[]
Creighton_Longbough:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cressen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Creylen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Culiper:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cynthea_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Cyrelle_Tarbeck:'siblings':['Rohanne_Tarbeck', 'Tion_Tarbeck']| 'fmc':[['Walderan_Tarbeck', 'Ellyn_Reyne'], []]| 'love':[]
Cyrenna_Swann:'siblings':[]| 'fmc':[[], ['Jared_Frey', 'Luceon_Frey']]| 'love':['Walder_Frey']
Daario_Naharis:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dacey_Mormont:'siblings':['Lyanna_Mormont']| 'fmc':[['Maege_Mormont'], []]| 'love':[]
Dacks:'siblings':[]| 'fmc':[[], []]| 'love':[]
Daegon_Shepherd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Daella_Targaryen_(daughter_of_Jaehaerys_I):'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Daenerys_Targaryen_(Daughter_of_Jaehaerys_I)', 'Aemon_Targaryen_(Son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(Son_of_Jaehaerys_I)', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], ['Aemma_Arryn']]| 'love':[]
Daella_Targaryen_(daughter_of_Maekar_I):'siblings':['Daeron_Targaryen', 'Aerion_Targaryen', 'Aemon_Targaryen', 'Aegon_V_Targaryen', 'Rhae_Targaryen']| 'fmc':[['Maekar_I_Targaryen', 'Dyanna_Dayne'], []]| 'love':[]
Daemion_Targaryen:'siblings':['Aelyx_Targaryen', 'Baelon_Targaryen_(son_of_Aerys)']| 'fmc':[['Aerys_Targaryen_(son_of_Aegon)'], ['Aerion_Targaryen_(son_of_Daemion)']]| 'love':[]
Daemon_Blackfyre:'siblings':['Daeron_II_Targaryen', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Mya_Rivers', 'Gwenys_Rivers', 'Brynden_Rivers', 'Shiera_Seastar']| 'fmc':[['Aegon_IV_Targaryen', 'Daena_Targaryen'], ['Aegon_Blackfyre', 'Aemon_Blackfyre', 'Calla_Blackfyre']]| 'love':[]
Daemon_Targaryen:'siblings':['Viserys_I_Targaryen']| 'fmc':[['Baelon_Targaryen', 'Alyssa_Targaryen'], ['Aegon_III_Targaryen', 'Viserys_II_Targaryen', 'Visenya_Targaryen_(daughter_of_Rhaenyra)', 'Rhaena_Targaryen_(daughter_of_Laena_Velaryon)', 'Baela_Targaryen']]| 'love':['Rhea_Royce', 'Laena_Velaryon', 'Rhaenyra_Targaryen', 'Nettles']
Daenerys_I_Targaryen:'siblings':['Rhaegar_Targaryen', 'Viserys_Targaryen']| 'fmc':[['Aerys_II_Targaryen', 'Rhaella_Targaryen'], ['Rhaego']]| 'love':['Drogo', 'Hizdahr_zo_Loraq']
Daenerys_Targaryen_(daughter_of_Jaehaerys_I):'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Aemon_Targaryen_(Son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(Son_of_Jaehaerys_I)', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Daenora_Targaryen:'siblings':[]| 'fmc':[['Rhaegel_Targaryen'], ['Maegor_Targaryen']]| 'love':['Aerion_Targaryen']
Daenys_Targaryen:'siblings':['Gaemon_Targaryen_(son_of_Aenar)']| 'fmc':[['Aenar_Targaryen'], ['Aegon_Targaryen_(son_of_Gaemon)', 'Elaena_Targaryen_(daughter_of_Gaemon)']]| 'love':[]
Daeron_II_Targaryen:'siblings':['Daenerys_Martell', 'Daemon_Blackfyre', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Mya_Rivers', 'Gwenys_Rivers', 'Brynden_Rivers', 'Shiera_Seastar']| 'fmc':[['Aegon_IV_Targaryen', 'Naerys_Targaryen'], ['Baelor_Targaryen_(son_of_Daeron_II)', 'Aerys_I_Targaryen', 'Rhaegel_Targaryen', 'Maekar_I_Targaryen']]| 'love':['Myriah_Martell']
Daeron_Targaryen_(son_of_Aegon_V):'siblings':['Duncan_Targaryen', 'Jaehaerys_II_Targaryen', 'Rhaelle_Targaryen']| 'fmc':[['Aegon_V_Targaryen'], []]| 'love':[]
Daeron_Targaryen_(son_of_Aerys_II):'siblings':['Rhaegar_Targaryen', 'Shaena_Targaryen', 'Aegon_Targaryen', 'Viserys_Targaryen', 'Daenerys_Targaryen']| 'fmc':[['Aerys_II_Targaryen', 'Rhaella_Targaryen'], []]| 'love':[]
Daeron_Targaryen_(Son_of_Maekar_I):'siblings':[]| 'fmc':[['Maekar_I_Targaryen'], []]| 'love':[]
Daeron_Targaryen_(the_Daring):'siblings':[]| 'fmc':[[], []]| 'love':[]
Daeryssa:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dagmer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dagon_Codd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dagon_Drumm:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dagon_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dagon_Greyjoy_(Drunkard):'siblings':[]| 'fmc':[[], []]| 'love':[]
Dale_Drumm:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dalton_Greyjoy:'siblings':['Veron_Greyjoy']| 'fmc':[[], []]| 'love':[]
Damion_Lannister:'siblings':[]| 'fmc':[['Damon_Lannister_(son_of_Jason)', 'Ella_Lannister'], ['Lucion_Lannister', 'Lanna_Lannister']]| 'love':['Shiera_Crakehall']
Damon_Darry:'siblings':[]| 'fmc':[[], []]| 'love':[]
Damon_Lannister_(lord):'siblings':[]| 'fmc':[[], ['Tybolt_Lannister', 'Gerold_Lannister']]| 'love':['Cerissa_Brax']
Damon_Lannister_(son_of_Jason):'siblings':[]| 'fmc':[['Jason_Lannister_(son_of_Gerold)', 'Alys_Stackspear'], ['Damion_Lannister']]| 'love':['Ella_Lannister']
Damon_Marbrand:'siblings':[]| 'fmc':[[], ['Addam_Marbrand']]| 'love':[]
Damon_Morrigen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Damon_Paege:'siblings':[]| 'fmc':[[], []]| 'love':[]
Damon_Shett:'siblings':[]| 'fmc':[[], []]| 'love':[]
Danny_Flint:'siblings':[]| 'fmc':[[], []]| 'love':[]
Danos_Slynt:'siblings':['Morros_Slynt']| 'fmc':[['Janos_Slynt'], []]| 'love':[]
Danwell_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Perriane_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Benfrey_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers', 'Martyn_Rivers', 'Ronel_Rivers']| 'fmc':[['Walder_Frey', 'Amarei_Crakehall'], []]| 'love':['Wynafrei_Whent']
Dareon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Darlessa_Marbrand:'siblings':[]| 'fmc':[[], []]| 'love':[]
Darnold_Arryn:'siblings':['Rymond_Arryn']| 'fmc':[[], []]| 'love':[]
Daryn_Hornwood:'siblings':['Larence_Snow']| 'fmc':[['Halys_Hornwood', 'Donella_Hornwood'], []]| 'love':[]
Daughter_of_the_Dusk:'siblings':[]| 'fmc':[[], []]| 'love':[]
Daven_Lannister:'siblings':['Cerenna_Lannister', 'Myrielle_Lannister']| 'fmc':[['Stafford_Lannister', 'Myranda_Lefford'], []]| 'love':[]
Davos_Baratheon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Davos_Dayne:'siblings':[]| 'fmc':[[], []]| 'love':['Nymeria']
Davos_Seaworth:'siblings':[]| 'fmc':[[], ['Dale_Seaworth', 'Allard_Seaworth', 'Devan_Seaworth']]| 'love':['Marya_Seaworth']
Deana_Hardyng:'siblings':[]| 'fmc':[[], ['Steffon_Frey', 'Walda_Frey_(daughter_of_Walton)', 'Bryan_Frey']]| 'love':['Walton_Frey']
Category:Deceased_Characters:'siblings':[]| 'fmc':[[], []]| 'love':[]
Delena_Florent:'siblings':[]| 'fmc':[['Colin_Florent'], ['Edric_Storm', 'Alester_Norcross', 'Renly_Norcross']]| 'love':['Hosman_Norcross']
Denyo_Terys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Denys_Darklyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Denys_Drumm:'siblings':['Donnel_Drumm']| 'fmc':[['Dunstan_Drumm'], []]| 'love':[]
Denys_Swann:'siblings':[]| 'fmc':[[], []]| 'love':[]
Desmera_Redwyne:'siblings':['Hobber_Redwyne', 'Horas_Redwyne']| 'fmc':[['Paxter_Redwyne', 'Mina_Tyrell'], []]| 'love':[]
Desmond:'siblings':[]| 'fmc':[[], []]| 'love':[]
Desmond_Grell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Devan_Seaworth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Deziel_Dalt:'siblings':['Andrey_Dalt']| 'fmc':[[], []]| 'love':[]
Dick_Follard:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dickon_Frey:'siblings':['Walder_Frey_(son_of_Jammos)', 'Mathis_Frey']| 'fmc':[['Jammos_Frey', 'Sallei_Paege'], []]| 'love':[]
Dickon_Morrigen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dickon_Tarly:'siblings':['Talla_Tarly', 'Samwell_Tarly']| 'fmc':[['Randyll_Tarly', 'Melessa_Florent'], []]| 'love':[]
Dobber:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donal_Noye:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donel_Greyjoy:'siblings':['Harlon_Greyjoy', 'Quenton_Greyjoy', 'Balon_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Urrigon_Greyjoy', 'Aeron_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Donella_Hornwood:'siblings':[]| 'fmc':[[], ['Daryn_Hornwood']]| 'love':['Halys_Hornwood']
Donnel_Drumm:'siblings':['Denys_Drumm']| 'fmc':[['Dunstan_Drumm'], []]| 'love':[]
Donnel_Flint:'siblings':['Artos_Flint']| 'fmc':[['Torghen_Flint'], []]| 'love':[]
Donnel_Haigh:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donnel_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donnel_of_Duskendale:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donnel_Waynwood:'siblings':[]| 'fmc':[['Anya_Waynwood'], []]| 'love':[]
Donnis:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donnor_Saltcliffe:'siblings':[]| 'fmc':[[], []]| 'love':[]
Donnor_Stark:'siblings':['Willam_Stark', 'Artos_Stark']| 'fmc':[['Beron_Stark', 'Lorra_Royce'], []]| 'love':[]
Dontos_Hollard:'siblings':[]| 'fmc':[[], []]| 'love':[]
Doran_Martell:'siblings':['Oberyn_Martell', 'Elia_Martell']| 'fmc':[[], ['Arianne_Martell', 'Quentyn_Martell', 'Trystane_Martell']]| 'love':['Mellario_of_Norvos']
Doreah:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dormund:'siblings':['Torwynd', 'Munda', 'Dryn']| 'fmc':[['Tormund'], []]| 'love':[]
Dorna_Swyft:'siblings':['Steffon_Swyft', 'Shierle_Swyft']| 'fmc':[['Harys_Swyft'], ['Lancel_Lannister', 'Willem_Lannister', 'Martyn_Lannister', 'Janei_Lannister']]| 'love':['Kevan_Lannister']
Category:Dragons:'siblings':[]| 'fmc':[[], []]| 'love':[]
Drogo:'siblings':[]| 'fmc':[['Bharbo'], ['Rhaego']]| 'love':['Daenerys_Targaryen']
Dryn:'siblings':['Torwynd', 'Dormund', 'Munda']| 'fmc':[['Tormund'], []]| 'love':[]
Duncan_the_Tall:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dunstan_Drumm:'siblings':[]| 'fmc':[[], ['Denys_Drumm', 'Donnel_Drumm']]| 'love':[]
Dunstan_Pryor:'siblings':[]| 'fmc':[[], []]| 'love':[]
Duram_Bar_Emmon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Durran:'siblings':[]| 'fmc':[[], ['Durran_Durrandon_(the_Devout)']]| 'love':[]
Durran_II_Durrandon:'siblings':[]| 'fmc':[['Durran'], []]| 'love':[]
Durwald_I_Durrandon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Duskendale_Captain:'siblings':['Captain%27s_Sister']| 'fmc':[[], []]| 'love':[]
Dusky_Woman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dyanna_Dayne:'siblings':[]| 'fmc':[[], ['Daeron_Targaryen_(Son_of_Maekar_I)', 'Aerion_Targaryen', 'Aemon_Targaryen_(Son_of_Maekar_I)', 'Aegon_V_Targaryen', 'Rhae_Targaryen']]| 'love':['Maekar_I_Targaryen']
Dykk_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Dywen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ebrose:'siblings':[]| 'fmc':[[], []]| 'love':[]
Eddara_Tallhart:'siblings':['Benfred_Tallhart']| 'fmc':[['Helman_Tallhart'], []]| 'love':[]
Eddard_Karstark:'siblings':['Alys_Karstark', 'Torrhen_Karstark', 'Harrion_Karstark']| 'fmc':[['Rickard_Karstark'], []]| 'love':[]
Eddard_Stark:'siblings':['Brandon_Stark', 'Lyanna_Stark', 'Benjen_Stark']| 'fmc':[['Rickard_Stark', 'Lyarra_Stark'], ['Robb_Stark', 'Jon_Snow', 'Sansa_Stark', 'Arya_Stark', 'Bran_Stark', 'Rickon_Stark']]| 'love':['Catelyn_Stark', 'Wylla', 'Ashara_Dayne']
Eddison_Tollett:'siblings':[]| 'fmc':[[], []]| 'love':[]
Edgar_Sloane:'siblings':[]| 'fmc':[[], []]| 'love':[]
Edgerran_Oakheart:'siblings':[]| 'fmc':[[], []]| 'love':[]
